ABL1--BCR
RP11-340A13.1--RP11-506N2.1
RP11-367G6.3--FAM65B
RP11-380D23.2--RP11-380D23.1
RP11-380O24.1--SRGAP3
RP11-400N13.3--RP11-815M8.1
RP11-403B2.7--RP11-403B2.6
RP11-411K7.1--MLIP
RP11-466L17.1--RP11-90C4.1
RP11-531H8.1--RP11-396O20.1
RP11-59N23.3--RP11-59N23.1
RP11-736K20.6--TMEM135
RP4-769N13.6--GPRASP2
RPH3AL--NXN
RRBP1--BFSP1
SBNO2--C19orf26
SCYL1--CMB9-22P13.1
SEMA3F--RBM6
SENP6--MYO6
SFPQ--TFE3
SHANK2--FLJ42102
SLC29A3--UNC5B
SLC34A2--ROS1
SLC34A2--RP11-302F12.3
SLC45A3--ERG
SLC45A3--ETV1
SLMAP--FLNB
SMEK1--FBLN5
SND1--BRAF
SNX2--SNX24
SNX9--GTF2H5
SPTAN1--GLE1
SRPK2--LINC01004
SS18--SSX1
SS18--SSX2
STAG1--NCK1-AS1
STK24--DOCK9
STRN--ALK
STRN--HEATR5B
SUZ12P1--CRLF3
TFB2M--SMYD3
TFDP1--TMCO3
TFG--GPR128
THRAP3--AGO3
THRAP3--MAP7D1
TJP2--PIP5K1B
TMPRSS2--ERG
TMPRSS2--ETV1
TMPRSS2--ETV4
TNIP1--ANXA6
TNRC18--RNF216
TPM3--NTRK1
TPST1--GS1-124K5.4
TPST2--CRYBB1
TRAV24--TRAC
TRPM4--PPFIA3
TTYH3--IQCE
UGDH--SMIM14
UMAD1--GLCCI1
URI1--VSTM2B
URI1--ZNF536
USP34--CCT4
UVRAG--MAP6
VCL--ADK
VDAC1--SKP1
VTI1A--TCF7L2
WASF2--AHDC1
WASF2--IFI6
WBP1L--SUFU
ZBED3-AS1--PDE8B
ZBTB7A--MAP2K2
ZDHHC7--USP10
ZFR--MTMR12
ZMYND8--RP1-148H17.1
ZSWIM4--CCDC130
pk--RAPGEF4
